nickname,raw_value,raw_units,value,units,specifier,doi,record_method,,,experimental,state,
AmmT,0.002,(eV),[0.002],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,neat
DMAC-o-TRZ,0.0004,(eV),[0.0004],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,
tBuDMAC-TPE-TRZ,0.08,(eV),[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,neat
tBuDMAC-TPE-TTR,0.01,(eV),[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,neat
mCP-o-TRZ,0.017,(eV),[0.017],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,
DPA-XA-TRZ,0.21,(eV),[0.21],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,CC1=CC=CC=C1,
CzSiTrz,0.06,(eV),[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.155350,AutoTableParser,,,1,Film,
PFCz-(BTZ-DMAC)50,0.06,(eV),[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.eurpolymj.2024.113119,AutoTableParser,,,1,Film,neat
2tBulnPz-BP33,0.032,eV,[0.032],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111671,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
2tBulnPz-XO33,0.026,eV,[0.026],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111671,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
m-DTPAQCN,0.24,(eV),[0.24],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107238,AutoTableParser,,,1,Film,
p-DTPAQCN,0.23,(eV),[0.23],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107238,AutoTableParser,,,1,Film,
m-DTPAQCN,0.23,eV,[0.23],ElectronVolt^(1.0),ΔESTs,10.1016/j.orgel.2025.107238,MultiQuantityModelTemplateParser,,,0,-,
p-DTPAQCN,0.13,eV,[0.13],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107238,MultiQuantityModelTemplateParser,,,0,-,
"10-(4-(imidazo[4,5,1-jk]carbazol-1-yl)phenyl)-10H-phenoxazine",0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2024.120812,QuantityModelTemplateParser,,,0,-,
"10-(4-(imidazo[4,5,1-jk]carbazol-1-yl)-2,6-dimethylphenyl)-10H-phenoxazine",0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2024.120812,QuantityModelTemplateParser,,,0,-,
"10-(4-(imidazo[4,5,1-jk]carbazol-1-yl)phenyl)-10H-phenoxazine",0.23,eV,[0.23],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2024.120812,QuantityModelTemplateParser,,,1,Film,
"10-(4-(imidazo[4,5,1-jk]carbazol-1-yl)-2,6-dimethylphenyl)-10H-phenoxazine",0.27,eV,[0.27],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2024.120812,QuantityModelTemplateParser,,,1,Film,
PhCz-TSBA,0.17,[eV],[0.17],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107062,AutoTableParser,,,1,CC1=CC=CC=C1,
TPA-TSBA,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107062,AutoTableParser,,,1,CC1=CC=CC=C1,
DTPA-TSBA,0.12,[eV],[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107062,AutoTableParser,,,1,CC1=CC=CC=C1,
PhCz-TSBA,0.41,[eV],[0.41],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107062,AutoTableParser,,,0,-,
TPA-TSBA,0.31,[eV],[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107062,AutoTableParser,,,0,-,
DTPA-TSBA,0.31,[eV],[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107062,AutoTableParser,,,0,-,
NAPB,0.2,eV,[0.2],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113091,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
DspiroS-PX,0.07,[eV],[0.07],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
DspiroSO-PX,0.13,[eV],[0.13],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
DspiroS-PA,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
DPAc-PX,0.29,[eV],[0.29],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,,,,1,CC1=CC=CC=C1,
DPAc-PA,0.29,[eV],[0.29],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,,,,1,CC1=CC=CC=C1,
SCz-PX,0.37,[eV],[0.37],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
DspiroS-PX,0.013,[eV],[0.013],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,0,-,
DspiroSO-PX,0.09,[eV],[0.09],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,0,-,
DspiroS-PA,0.69,[eV],[0.69],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,0,-,
DPAc-PX,0.1,[eV],[0.1],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,,,,0,-,
DPAc-PA,0.74,[eV],[0.74],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,,,,0,-,
SCz-PX,0.37,[eV],[0.37],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.141416,QuantityModelTemplateParser,,,0,-,
"2,3-bis(4-(bis(4-(tert-butyl)phenyl)amino)phenyl)-6,7-bis(4-(tert-butyl)phenyl)quinoxaline-5,8-dicarbonitrile",0.11,[eV],[0.11],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.154048,AutoTableParser,,,1,Film,room
"2,3-bis(4-(bis(4-(tert-butyl)phenyl)amino)phenyl)-6,7-bis(4-(tert-butyl)phenyl)quinoxaline-5,8-dicarbonitrile",0.114,[eV],[0.114],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.154048,AutoTableParser,,,1,CC1=CC=CC=C1,
"2,3-bis(4-(bis(4-(tert-butyl)phenyl)amino)phenyl)-6,7-bis(4-(tert-butyl)phenyl)quinoxaline-5,8-dicarbonitrile",0.29,eV,[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.154048,QuantityModelTemplateParser,,,0,-,
DMAC-DPS-DOPTZ,0.1,[eV],[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111225,AutoTableParser,,,1,Film,
PXZ-DPS-DOPTZ,0.03,[eV],[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111225,AutoTableParser,,,1,Film,
"3-(4-(9,9-dimethylacridin-10(9H)-yl)phenyl)-12,13-diphenyldibenzo[a,c]pyrazino[2,3-i]phenazine",0.46,(eV),[0.46],ElectronVolt^(1.0),∆EST,10.1016/j.molstruc.2023.137236,AutoTableParser,,,0,-,
"3-(4-(3,6-di-tert-butyl-9H-carbazol-9-yl)phenyl)-12,13-diphenyldibenzo[a,c]pyrazino[2,3-i]phenazine",0.44,(eV),[0.44],ElectronVolt^(1.0),∆EST,10.1016/j.molstruc.2023.137236,AutoTableParser,,,0,-,
"10-(3-((3,5-di(9H-carbazol-9-yl)phenyl)sulfonyl)phenyl)-9,9-dimethyl-9,10-dihydroacridine",0.21,(eV),[0.21],ElectronVolt^(1.0),ΔEST,10.1016/j.saa.2023.122344,AutoTableParser,,,1,Solid,
5CzTRZ,0.06,[eV],[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112723,AutoTableParser,,,1,CC1=CC=CC=C1,
5CzTRZ-Cb,0.08,[eV],[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112723,AutoTableParser,,,1,CC1=CC=CC=C1,
5CzTRZ-Cz,0.08,[eV],[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112723,AutoTableParser,,,1,CC1=CC=CC=C1,
5CzTRZ-Cb,0.27,[eV],[0.27],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112723,AutoTableParser,,,1,Film,neat
5CzTRZ-Cz,0.2,[eV],[0.2],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.112723,AutoTableParser,,,1,Film,neat
MeBN,0.16,[eV],[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167524,AutoTableParser,,,1,Film,
NaBN-Me,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167524,AutoTableParser,,,1,Film,
NaBN-DPA,0.14,[eV],[0.14],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167524,AutoTableParser,,,1,Film,
MeBN,0.33,[eV],[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167524,AutoTableParser,,,0,-,
NaBN-Me,0.3,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167524,AutoTableParser,,,0,-,
NaBN-DPA,0.27,eV,[0.16],ElectronVolt^(1.0),∆EST,10.1016/j.cej.2025.167524,QuantityModelTemplateParser,,,0,-,
PhCQ,0.15,(eV),[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112363,AutoTableParser,,,1,CC1=CC=CC=C1,
m-PyCQ,0.17,(eV),[0.17],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112363,AutoTableParser,,,1,CC1=CC=CC=C1,
p-PyCQ,0.13,(eV),[0.13],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112363,AutoTableParser,,,1,CC1=CC=CC=C1,
PhCQ,0.2,(eV),[0.2],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112363,AutoTableParser,,,0,-,
m-PyCQ,0.15,(eV),[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112363,AutoTableParser,,,0,-,
p-PyCQ,0.12,(eV),[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112363,AutoTableParser,,,0,-,
BP-2CzTE,0.29,eV,[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167564,MultiQuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
BP-2Cz2TE,0.25,eV,[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167564,MultiQuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
BP-2CzTE,0.28,eV,[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167564,MultiQuantityModelTemplateParser,,,0,-,
BP-2Cz2TE,0.28,eV,[0.28],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.167564,MultiQuantityModelTemplateParser,,,0,-,
"(R)-(3,6-di-tert-butyl-1,8-dimethyl-9H-carbazol-9-yl)(3-(2,6-diisopropylphenyl)-5-isopropyl-4-phenyl-2,3-dihydrothiazol-2-yl)gold",0.039,eV,[0.039],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.120197,QuantityModelTemplateParser,,,1,Film,
23bCzSOB,0.18,(eV),[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2024.102239,AutoTableParser,,,1,CC1=CC=CC=C1,
23bCzTPO,0.2,(eV),[0.2],ElectronVolt^(1.0),ΔEST,10.1016/j.mtchem.2024.102239,AutoTableParser,,,1,CC1=CC=CC=C1,
23aIC-TAZTRZ,0.0558,eV,[0.0558],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.142910,AutoTableParser,,,1,Film,neat
32aIC-TAZTRZ,0.0488,eV,[0.0488],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.142910,AutoTableParser,,,1,Film,neat
PSOBCz,0.18,eV,[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.120087,QuantityModelTemplateParser,,,1,Film,neat
PBCzPM,0.19,eV,[0.19],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.120087,MultiQuantityModelTemplateParser,,,1,Film,neat
BCzDPM,0.22,eV,[0.22],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.120087,MultiQuantityModelTemplateParser,,,1,Film,neat
DMAC-TRZ,0.02,eV,[0.02],ElectronVolt^(1.0),ΔEST,10.1016/j.jphotochem.2023.115289,QuantityModelTemplateParser,,,1,Film,neat
DMPPP,0.3,eV,[0.3],ElectronVolt^(1.0),ΔEST,10.1016/j.jphotochem.2023.115289,QuantityModelTemplateParser,,,1,Film,neat
Ir(piq)2(acac),0.02,eV,[0.02],ElectronVolt^(1.0),ΔEST,10.1016/j.jphotochem.2023.115289,QuantityModelTemplateParser,,,1,Film,neat
CAI-DMAC,0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.03.020,QuantityModelTemplateParser,,,0,-,
"(+)-(S,S)-CAI-DMAC",0.07,eV,[0.07],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.03.020,QuantityModelTemplateParser,,,1,Film,
"(?)-(R,R)-CAI-DMAC",0.07,eV,[0.07],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.03.020,MultiQuantityModelTemplateParser,,,1,Film,
PXZ-NAI,0.06,(eV),[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2020.106012,AutoTableParser,,,1,Film,
PTZ-NAI,0.08,(eV),[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2020.106012,AutoTableParser,,,1,Film,
PXZ-NAI,0.1,eV,[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2020.106012,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
PTZ-NAI,0.11,eV,[0.11],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2020.106012,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
3TCPM,0.26,[eV],[0.26],ElectronVolt^(1.0),ΔESTi,10.1016/j.dyepig.2021.109208,AutoTableParser,,,1,Film,neat
2TCPM,0.37,[eV],[0.37],ElectronVolt^(1.0),ΔESTi,10.1016/j.dyepig.2021.109208,AutoTableParser,,,1,Film,neat
1TCPM,0.02,[eV],[0.02],ElectronVolt^(1.0),ΔESTi,10.1016/j.dyepig.2021.109208,AutoTableParser,,,1,Film,neat
1TCPM-Cz,0.04,[eV],[0.04],ElectronVolt^(1.0),ΔESTi,10.1016/j.dyepig.2021.109208,AutoTableParser,,,1,Film,neat
3TCPM,0.0982,eV,[0.0982],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109208,MultiQuantityModelTemplateParser,,,0,-,
2TCPM,0.0138,eV,[0.0138],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109208,MultiQuantityModelTemplateParser,,,0,-,
1TCPM,0.0062,eV,[0.0062],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109208,MultiQuantityModelTemplateParser,,,0,-,
1TCPM-Cz,0.0069,eV,[0.0069],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109208,MultiQuantityModelTemplateParser,,,0,-,
mCP-6C-TRZ,0.16,eV,[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2021.106309,QuantityModelTemplateParser,,,1,Film,neat
phCz-6C-TRZ,0.14,(eV),[0.14],ElectronVolt^(1.0),ΔEST,10.1016/j.jiec.2021.12.024,AutoTableParser,,,1,Film,neat
2phCz-6C-TRZ,0.08,(eV),[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.jiec.2021.12.024,AutoTableParser,,,1,Film,neat
mCP-6C-TRZ,0.34,eV,[0.34],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2021.106309,QuantityModelTemplateParser,,,0,-,
phCz-6C-TRZ,0.43,(eV),[0.43],ElectronVolt^(1.0),ΔEST,10.1016/j.jiec.2021.12.024,AutoTableParser,,,0,-,
2phCz-6C-TRZ,0.19,(eV),[0.19],ElectronVolt^(1.0),ΔEST,10.1016/j.jiec.2021.12.024,AutoTableParser,,,0,-,
DBBPZ-DPXZ,0.11,[eV],[0.11],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2021.134423,STSplitTableParser,,,1,Film,neat
mDPBPZ-DPXZ,0.02,[eV],[0.02],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2021.134423,STSplitTableParser,,,1,Film,neat
DPIBPZ-DPXZ,0.05,[eV],[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2021.134423,STSplitTableParser,,,1,Film,neat
DBBPZ-DPXZ,0.007,[eV],[0.007],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2021.134423,AutoTableParser,,,0,-,
mDPBPZ-DPXZ,0.005,[eV],[0.005],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2021.134423,AutoTableParser,,,0,-,
DPIBPZ-DPXZ,0.003,[eV],[0.003],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2021.134423,AutoTableParser,,,0,-,
BCZ-BTD-AD,0.16,(eV),[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109781,AutoTableParser,,,1,Solid,
"1,3-di(9H-carbazol-9-yl)benzene",0.12,eV,[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109781,AutoTableParser,,,0,-,
TRZ-DCF,0.04,(eV),[0.04],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.02.001,AutoTableParser,,,0,-,
TRTZ,0.32,(eV),[0.32],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.02.001,AutoTableParser,,,0,-,
TRZ-DCF,0.22,eV,[0.22],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.02.001,QuantityModelTemplateParser,,,1,Film,
TRTZ,0.43,eV,[0.43],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.02.001,QuantityModelTemplateParser,,,1,Film,
4CzIPN,0.09,eV,[0.09],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.105601,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
Cz-4CzIPN,0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.105601,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
Cz-4CzIPN,0.09,[eV],[0.09],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2019.107864,AutoTableParser,,,0,-,
Cy-2Cz,0.18,[eV],[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2018.04.022,AutoTableParser,,,1,CC1=CC=CC=C1,
Cy-3Cz,0.31,[eV],[0.31],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2018.04.022,AutoTableParser,,,1,CC1=CC=CC=C1,
Sf-3Cz,0.16,[eV],[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2018.04.022,AutoTableParser,,,1,CC1=CC=CC=C1,
BCZ-BTD-AD,0.12,eV,[0.12],ElectronVolt^(1.0),singlet,10.1016/j.orgel.2020.105894,QuantityModelTemplateParser,,,0,-,
BCZ-BTD-AD,0.16,eV,[0.16],ElectronVolt^(1.0),singlet,10.1016/j.orgel.2020.105894,QuantityModelTemplateParser,,,1,Solid,
"(S)-2,8-bis(9,9-dimethylacridin-10(9H)-yl)-10-(1-phenylethyl)-10H-phenothiazine 5,5-dioxide",0.05,eV,[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109860,QuantityModelTemplateParser,,,1,Solid,
"(S)-2,8-bis(9,9-dimethylacridin-10(9H)-yl)-10-(1-phenylethyl)-10H-phenothiazine 5,5-dioxide",0.03,eV,[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109860,QuantityModelTemplateParser,,,0,-,
Trz-oIC,0.16,(eV),[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.07.024,AutoTableParser,,,1,Film,
Trz-mIC,0.13,(eV),[0.13],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.07.024,AutoTableParser,,,1,Film,
Trz-pIC,0.29,(eV),[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.07.024,AutoTableParser,,,1,Film,
Trz-fIC,0.45,(eV),[0.45],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2019.07.024,AutoTableParser,,,1,Film,
HETBu,0.24,(eV),[0.24],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2020.125159,AutoTableParser,,,1,Film,
HAP-3TPA,0.3,(eV),[0.3],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2020.125159,AutoTableParser,,,1,Film,
t-DABNA,0.15,eV,[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.mtener.2021.100792,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
t-DAB-DPA,0.1,eV,[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.mtener.2021.100792,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
t-DABNA,0.49,eV,[0.49],ElectronVolt^(1.0),ΔEST,10.1016/j.mtener.2021.100792,QuantityModelTemplateParser,,,0,-,
t-DAB-DPA,0.46,eV,[0.46],ElectronVolt^(1.0),ΔEST,10.1016/j.mtener.2021.100792,QuantityModelTemplateParser,,,0,-,
BC,0.08,eV,[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2021.106365,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
BC5F,0.28,eV,[0.28],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2021.106365,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
BC,0.16,eV,[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2021.106365,QuantityModelTemplateParser,,,0,-,
BC5F,0.49,eV,[0.49],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2021.106365,QuantityModelTemplateParser,,,0,-,
SFAC-BP-SFAC,0.036,eV,[0.036],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134934,MultiQuantityModelTemplateParser,,,1,Film,neat
SXAC-BP-SXAC,0.061,eV,[0.061],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134934,MultiQuantityModelTemplateParser,,,1,Film,neat
STAC-BP-STAC,0.052,eV,[0.052],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134934,MultiQuantityModelTemplateParser,,,1,Film,neat
SFAC-BP-SFAC,0.017,eV,[0.017],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134934,MultiQuantityModelTemplateParser,,,1,Film,
SXAC-BP-SXAC,0.056,eV,[0.056],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134934,MultiQuantityModelTemplateParser,,,1,Film,
STAC-BP-STAC,0.045,eV,[0.045],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134934,MultiQuantityModelTemplateParser,,,1,Film,
APPT-PXZ,0.07,eV,[0.07],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109474,MultiQuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
APPT-BPXZ,0.04,eV,[0.04],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2021.109474,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
DMAC-SFIP,0.036,eV,[0.036],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2020.125648,AutoTableParser,,,1,Film,
DMAC-SFIC,0.028,eV,[0.028],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2020.125648,AutoTableParser,,,1,Film,
DMAC-SFIS,0.033,eV,[0.033],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2020.125648,AutoTableParser,,,1,Film,
DCz-DPPZ,0.19,(eV),[0.19],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2022.110634,AutoTableParser,,,1,Film,
DDPhCz-DPPZ,0.16,eV,[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2022.110634,QuantityModelTemplateParser,,,1,Film,
3CP-DPS-PXZ,0.03,(eV),[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2020.108781,STSplitTableParser,,,1,Film,neat
3CP-DPS-DMAC,0.07,(eV),[0.07],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2020.108781,AutoTableParser,,,1,Film,neat
DTXO-PhCz4,0.04,eV,[0.04],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,MultiQuantityModelTemplateParser,,,1,CC1CCCO1,
DTXO-TPA4,0,eV,[0],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,1,CC1CCCO1,
DTXO-PhCz2,0.14,eV,[0.14],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,1,CC1CCCO1,
DTXO-TPA2,0.06,eV,[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,1,CC1CCCO1,
DTXO-PhCz4,0.04,eV,[0.04],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,MultiQuantityModelTemplateParser,,,1,Film,
DTXO-TPA4,0.031,eV,[0.031],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,1,Film,
DTXO-PhCz2,0.133,eV,[0.133],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,1,Film,
DTXO-TPA2,0.101,eV,[0.101],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,1,Film,
DTXO-PhCz4,0.06,eV,[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,MultiQuantityModelTemplateParser,,,0,-,
DTXO-TPA4,0.032,eV,[0.032],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,0,-,
DTXO-PhCz2,0.149,eV,[0.149],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,0,-,
DTXO-TPA2,0.101,eV,[0.101],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.134728,QuantityModelTemplateParser,,,0,-,
B-2PTZ,0.055,eV,[0.055],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2018.09.023,AutoTableParser,,,1,Film,neat
B-2PXZ,0.039,eV,[0.039],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2018.09.023,AutoTableParser,,,1,Film,neat
B-2DMAC,0.03,eV,[0.030],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2018.09.023,AutoTableParser,,,1,Film,neat
BuCz-TRZ,0.29,[eV],[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2022.110329,AutoTableParser,,,1,CC1CCCO1,
