nickname,raw_value,raw_units,value,units,specifier,doi,record_method,,,experimental,state,
PhTzBN,0.17,[eV],[0.17],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2025.107312,AutoTableParser,,,0,-,
Me-PABDPA,0.13,eV,[0.13],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111858,MultiQuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
Me-PABCZ,0.11,eV,[0.11],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111858,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
"9-(10-(3-(triphenylsilyl)phenyl)-5,9-dioxa-13b-boranaphtho[3,2,1-de]anthracen-11-yl)-9H-carbazole",0.19,eV,[0.19],ElectronVolt^(1.0),ΔEST,10.1016/j.mattod.2024.03.015,MultiQuantityModelTemplateParser,,,0,-,
"9-(12-(3-(triphenylsilyl)phenyl)-5,9-dioxa-13b-boranaphtho[3,2,1-de]anthracen-11-yl)-9H-carbazole",0.22,eV,[0.22],ElectronVolt^(1.0),ΔEST,10.1016/j.mattod.2024.03.015,MultiQuantityModelTemplateParser,,,0,-,
mDBNS,0.18,(eV),[0.18],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107045,AutoTableParser,,,1,CC1=CC=CC=C1,
mDBNStBu,0.16,(eV),[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107045,AutoTableParser,,,1,CC1=CC=CC=C1,
R-DNKP,0.09,[eV],[0.09],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.152151,AutoTableParser,,,1,Film,
NKP,0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.152151,QuantityModelTemplateParser,,,1,Film,
(R)-FAC-SIC,0.075,eV,[0.075],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2022.140070,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
"10-(3,6-di-tert-butyl-9-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-9H-carbazol-1-yl)indolo[3,2,1-kl]phenoxazine",0.079,[eV],[0.079],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.166755,STSplitTableParser,,,1,Film,
"10-(3,6-di-tert-butyl-1-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-9H-carbazol-9-yl)indolo[3,2,1-kl]phenoxazine",0.249,[eV],[0.249],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.166755,STSplitTableParser,,,1,Film,
"10-(1-(13bl3-oxa-5l2,9l2-diboranaphtho[3,2,1-kl]anthracen-7-yl)-3,6-di-tert-butyl-9H-carbazol-9-yl)indolo[3,2,1-kl]phenoxazine",0.217,[eV],[0.217],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.166755,STSplitTableParser,,,1,Film,
BNCz-aDMAC,0.13,[eV],[0.13],ElectronVolt^(1.0),ΔESTc,10.1016/j.cej.2023.147977,AutoTableParser,,,1,CC1=CC=CC=C1,
BNCz-PaDMAC,0.06,[eV],[0.06],ElectronVolt^(1.0),ΔESTc,10.1016/j.cej.2023.147977,AutoTableParser,,,1,CC1=CC=CC=C1,
TrzSpiroAc-tmCP,0.2,[eV],[0.2],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111856,AutoTableParser,,,1,CC1=CC=CC=C1,
TrzSpiroAc-tmCPCN,0.2,[eV],[0.2],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111856,AutoTableParser,,,1,CC1=CC=CC=C1,
4OCzCN,0.1,(eV),[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,1,CC1=CC=CC=C1,
Cz-4CzCN,0.11,(eV),[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,1,CC1=CC=CC=C1,
mCP-4CzCN,0.11,(eV),[0.11],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,1,CC1=CC=CC=C1,
TCz-4CzCN,0.11,(eV),[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,1,CC1=CC=CC=C1,
4OCzCN,0.1,(eV),[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,0,-,
Cz-4CzCN,0.11,(eV),[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,0,-,
mCP-4CzCN,0.11,(eV),[0.11],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,0,-,
TCz-4CzCN,0.11,(eV),[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.164942,AutoTableParser,,,0,-,
BTP-S(2O-1B),0.007,eV,[0.007],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107130,QuantityModelTemplateParser,,,0,-,
BTP-Se,0.007,eV,[0.007],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107130,QuantityModelTemplateParser,,,0,-,
BTP-S,0.003,eV,[0.003],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107130,QuantityModelTemplateParser,,,0,-,
"2-(4,4?-bis(diphenylamino)-[1,1�:3?,1?- terphenyl]-4?-yl) quinoxaline-6,7-dicarbonitrile",0.08,[eV],[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112398,AutoTableParser,,,1,Film,
"2-(4'-(diphenylamino)-[1,1'-biphenyl]-4-yl)quinoxaline-6,7-dicarbonitrile",0.1,[eV],[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112398,AutoTableParser,,,1,Film,
"2-(4'-(diphenylamino)-[1,1'-biphenyl]-2-yl)quinoxaline-6,7-dicarbonitrile",0.05,[eV],[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2024.112398,AutoTableParser,,,1,Film,
"(4-(9,9-dimethylacridin-10(9H)-yl)phenyl)(quinolin-3-yl)methanone",0.01,eV,[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.molstruc.2023.135408,QuantityModelTemplateParser,,,0,-,
"(4-(9,9-dimethylacridin-10(9H)-yl)phenyl)(quinolin-3-yl)methanone",0.06,eV,[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.molstruc.2023.135408,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
"2,11-di-tert-butyl-4-methyl-5-oxa-8b-aza-15b-borabenzo[a]naphtho[1,2,3-hi]aceanthrylene",0.16,[eV],[0.16],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.170146,AutoTableParser,,,1,Film,
DPQxPz,0.017,eV,[0.017],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2022.111065,MultiQuantityModelTemplateParser,,,1,Film,
DMQxPz,0.019,eV,[0.019],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2022.111065,MultiQuantityModelTemplateParser,,,1,Film,
QxPz,0.015,eV,[0.015],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2022.111065,MultiQuantityModelTemplateParser,,,1,Film,
BNCz-SAF,0.15,[eV],[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111421,AutoTableParser,,,1,CC1=CC=CC=C1,
BNCz-DMAC,0.13,[eV],[0.13],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111421,AutoTableParser,,,1,CC1=CC=CC=C1,
BNCz-PXZ,0.12,[eV],[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2023.111421,AutoTableParser,,,1,CC1=CC=CC=C1,
BCzBN-BO,0.12,(eV),[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.160139,AutoTableParser,,,1,CC1=CC=CC=C1,
FlCzBN-BO,0.05,(eV),[0.05],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2025.160139,AutoTableParser,,,1,CC1=CC=CC=C1,
P-TC,0.29,(eV),[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,1,CC1=CC=CC=C1,
P-TC,0.25,(eV),[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,0,-,
P-CzTC,0.33,(eV),[0.33],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,1,CC1=CC=CC=C1,
P-CzTC,0.25,(eV),[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,0,-,
P-TCFu,0.28,(eV),[0.28],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,1,CC1=CC=CC=C1,
P-TCFu,0.26,(eV),[0.26],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,0,-,
P-CzTCFu,0.26,(eV),[0.26],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,AutoTableParser,,,1,CC1=CC=CC=C1,
P-CzTCFu,0.23,eV,[0.23],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2023.143088,QuantityModelTemplateParser,,,0,-,
AQ-TPA,0.1,[eV],[0.1],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107142,AutoTableParser,,,1,Film,
AQ-PTPA,0.08,[eV],[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107142,AutoTableParser,,,1,Film,
AQ-PDMAC,0.06,[eV],[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107142,AutoTableParser,,,1,Film,
AQ-PSFAC,0.02,[eV],[0.02],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107142,AutoTableParser,,,1,Film,
QAO-0,0.29,(eV),[0.29],ElectronVolt^(1.0),ΔEST,10.1016/j.optmat.2025.117163,AutoTableParser,,,1,CC1=CC=CC=C1,
2CzphQAO,0.3,(eV),[0.3],ElectronVolt^(1.0),ΔEST,10.1016/j.optmat.2025.117163,AutoTableParser,,,1,CC1=CC=CC=C1,
2CzphQAO,0.15,eV,[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.optmat.2025.117163,QuantityModelTemplateParser,,,0,-,
TPA-CN-N4-CH3,0.12,eV,[0.12],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107005,QuantityModelTemplateParser,,,1,Film,
BNCZ,0.06,[eV],[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113019,AutoTableParser,,,1,CC1=CC=CC=C1,
BNCz-OPh,0.07,[eV],[0.07],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113019,AutoTableParser,,,1,CC1=CC=CC=C1,
BNCZ-OTPA,0.08,[eV],[0.08],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113019,AutoTableParser,,,1,CC1=CC=CC=C1,
TRZ-2Ph-TE,0.25,eV,[0.25],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113010,QuantityModelTemplateParser,,,0,-,
TRZ-Cz-TE,0.2,eV,[0.20],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113010,QuantityModelTemplateParser,,,0,-,
TRZ-2Cl-TE,0.24,eV,[0.24],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113010,QuantityModelTemplateParser,,,0,-,
TRZ-Cl-2TE,0.22,eV,[0.22],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113010,QuantityModelTemplateParser,,,0,-,
TRZ-2MeO-TE,0.33,eV,[0.33],ElectronVolt^(1.0),ΔEST,10.1016/j.dyepig.2025.113010,QuantityModelTemplateParser,,,0,-,
TRZ-STFMe,0.05,eV,[0.05],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.148314,QuantityModelTemplateParser,,,1,Film,
TRZ-STFPh,0.09,eV,[0.09],ElectronVolt^(1.0),ΔESTs,10.1016/j.cej.2023.148314,QuantityModelTemplateParser,,,1,Film,
SO-OZ,0.06,(eV),[0.06],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107140,AutoTableParser,,,1,Film,
SO-AD,0.15,(eV),[0.15],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107140,AutoTableParser,,,1,Film,
4CzBN,0.23,eV,[0.23],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107096,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
3Ph-4CzBN,0.33,eV,[0.33],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107096,QuantityModelTemplateParser,,,1,CC1=CC=CC=C1,
"3,3',3''-(1,3,5-triazine-2,4,6-triyl)tris(2-(9H-carbazol-9-yl)benzonitrile)",0.03,eV,[0.03],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.119787,QuantityModelTemplateParser,,,1,Film,
"3,3',3''-(1,3,5-triazine-2,4,6-triyl)tris(4-(9H-carbazol-9-yl)benzonitrile)",0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.119787,QuantityModelTemplateParser,,,1,Film,
"4,4',4''-(1,3,5-triazine-2,4,6-triyl)tris(3-(9H-carbazol-9-yl)benzonitrile)",0.01,eV,[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.jlumin.2023.119787,MultiQuantityModelTemplateParser,,,1,Film,
PBD,0.87,eV,[0.87],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107180,AutoTableParser,,,1,Film,
TTPA,0.37,eV,[0.37],ElectronVolt^(1.0),ΔEST,10.1016/j.orgel.2024.107180,AutoTableParser,,,1,Film,
p-CZTRPT,0.01,(eV),[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.156529,AutoTableParser,,,1,Film,neat
p-OMeCZTRPT,0.01,(eV),[0.01],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.156529,AutoTableParser,,,1,Film,neat
o-CZTRPT,0.02,(eV),[0.02],ElectronVolt^(1.0),ΔEST,10.1016/j.cej.2024.156529,AutoTableParser,,,1,Film,neat
