,nickname,name.compound,name.smiles
16,(R)-8H-BIPNX-BN,"N16,N16,N16',N16',18,18'-hexaphenyl-10,10',11,11',12,12',13,13'-octahydro-18H,18'H-[9,9'-bi(8,8'-dioxa-14b,14'b,18,18'-tetraaza-4b,4'b-diboratribenzo[c,fg,uv]pentaphene)]-16,16'-diamine",C12=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=CC5=C1B(C6=C7N5C8=C(C(C9=C%10CCCCC%10=CC%11=C9OC%12=CC=CC%13=C%12N%11C(C=C%14N(C%15=CC=CC=C%15)C%16=CC=CC=C%16)=C%17B%13C%18=C(N(C%17=C%14)C%19=CC=CC=C%19)C=CC=C%18)=C(CCCC%20)C%20=C8)OC7=CC=C6)C%21=C(C=CC=C%21)N2C%22=CC=CC=C%22
17,(R)-8H-BIPTZ-BN,"N16,N16,N16',N16',18,18'-hexaphenyl-10,10',11,11',12,12',13,13'-octahydro-18H,18'H-[9,9'-bi(8,8'-dithia-14b,14'b,18,18'-tetraaza-4b,4'b-diboratribenzo[c,fg,uv]pentaphene)]-16,16'-diamine",C12=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=CC5=C1B(C6=C7N5C8=C(C(C9=C%10CCCCC%10=CC%11=C9SC%12=CC=CC%13=C%12N%11C(C=C%14N(C%15=CC=CC=C%15)C%16=CC=CC=C%16)=C%17B%13C%18=C(N(C%17=C%14)C%19=CC=CC=C%19)C=CC=C%18)=C(CCCC%20)C%20=C8)SC7=CC=C6)C%21=C(C=CC=C%21)N2C%22=CC=CC=C%22
18,R-Ax-CN,"(5'r)-5',6''-di(9H-carbazol-9-yl)-[1,1':4',1'':4'',1'''-quaterphenyl]-2'',3',4,4'''-tetracarbonitrile",N#CC1=C(C2=C(C#N)C=C(C3=CC=C(C#N)C=C3)C=[C@@]2[N@@]4C5=C(C=CC=C5)C6=CC=CC=C64)[C@@]([N@@]7C8=C(C=CC=C8)C9=CC=CC=C97)=CC(C%10=CC=C(C#N)C=C%10)=C1
19,R-Ax-H,"(5'r)-5',6''-di(9H-carbazol-9-yl)-[1,1':4',1'':4'',1'''-quaterphenyl]-2'',3'-dicarbonitrile",[H]C(C=C1)=CC=C1C2=CC(C#N)=C(C3=C(C#N)C=C(C4=CC=C([H])C=C4)C=[C@@]3[N@@]5C6=C(C=CC=C6)C7=CC=CC=C75)[C@@]([N@@]8C9=C(C=CC=C9)C%10=CC=CC=C%108)=C2
20,R-Ax-OCH3,"(5'r)-5',6''-di(9H-carbazol-9-yl)-4,4'''-dimethoxy-[1,1':4',1'':4'',1'''-quaterphenyl]-2'',3'-dicarbonitrile",N#CC1=C(C2=C(C#N)C=C(C3=CC=C(OC)C=C3)C=[C@@]2[N@@]4C5=C(C=CC=C5)C6=CC=CC=C64)[C@@]([N@@]7C8=C(C=CC=C8)C9=CC=CC=C97)=CC(C%10=CC=C(OC)C=C%10)=C1
21,oPyBN,"2,7,12-tri-tert-butyl-5,9-di(pyridin-2-yl)-5,9-dihydro-5,9-diaza-13b-boranaphtho[3,2,1-de]anthracene",CC(C)(C)C1=CC(N(C2=CC=CC=N2)C3=C4C=C(C(C)(C)C)C=C3)=C(B4C(C=C(C(C)(C)C)C=C5)=C5N6C7=NC=CC=C7)C6=C1
22,mPyBN,"2,7,12-tri-tert-butyl-5,9-di(pyridin-3-yl)-5,9-dihydro-5,9-diaza-13b-boranaphtho[3,2,1-de]anthracene",CC(C)(C)C(C=C1)=CC2=C1N(C3=CN=CC=C3)C4=CC(C(C)(C)C)=CC5=C4B2C6=C(C=CC(C(C)(C)C)=C6)N5C7=CC=CN=C7
23,PymBN,"2,7,12-tri-tert-butyl-5,9-di(pyrimidin-2-yl)-5,9-dihydro-5,9-diaza-13b-boranaphtho[3,2,1-de]anthracene",CC(C)(C)C(C=C1)=CC2=C1N(C3=NC=CC=N3)C4=CC(C(C)(C)C)=CC5=C4B2C6=C(C=CC(C(C)(C)C)=C6)N5C7=NC=CC=N7
24,PhTzBN,"2,2'-(2,7,12-tri-tert-butyl-5,9-diaza-13b-boranaphtho[3,2,1-de]anthracene-5,9-diyl)bis(benzo[d]thiazole)",CC(C)(C)C(C=C1)=CC2=C1N(C3=NC(C=CC=C4)=C4S3)C5=CC(C(C)(C)C)=CC6=C5B2C7=C(C=CC(C(C)(C)C)=C7)N6C8=NC(C=C)=C(C)S8
25,Me-PABDPA,"N7,5,9-tris(2,6-dimethylphenyl)-N7-(4-(diphenylamino)phenyl)-N2,N2,N12,N12-tetraphenyl-9,13b-dihydro-5H-naphtho[3,2,1-de]anthracene-2,7,12-triamine",CC1=CC=CC(C)=C1C2C3=C(C=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C6C7=C(C=CC(N(C8=CC=CC=C8)C9=CC=CC=C9)=C7)C(C%10=C(C)C=CC=C%10C)C%11=C6C2=CC(N(C%12=CC=C(N(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C%12)C%15=C(C)C=CC=C%15C)=C%11
